,itin_carrier,itin_taxi,itin_ga,itin_military,itin_total,lcl_civil,lcl_military,lcl_total,total
1990-01-01,7892,3609,18451,2411,32363,77690,7822,85512,117875
1991-01-01,8393,3723,25030,2120,39266,108631,8624,117255,156521
1992-01-01,9231,4079,25149,2975,41434,116972,10973,127945,169379
1993-01-01,8539,4324,23212,2708,38783,109892,6327,116219,155002
1994-01-01,6806,4900,21970,2380,36056,91386,8638,100024,136080
1995-01-01,6921,5530,21270,2541,36262,79579,9665,89244,125506
1996-01-01,4790,5106,19456,2699,32051,64423,9680,74103,106154
1997-01-01,5791,5504,20830,2168,34293,65336,7856,73192,107485
1998-01-01,6941,5696,28717,2517,43871,83306,7245,90551,134422
1999-01-01,14723,5165,30248,2994,53130,65454,8524,73978,127108
2000-01-01,26146,4702,31793,4590,67231,53165,8404,61569,128800
2001-01-01,19238,4892,28571,7526,60227,46364,13812,60176,120403
2002-01-01,11138,5353,24687,9050,50228,42213,20110,62323,112551
2003-01-01,11132,5137,23257,8529,48055,36837,19678,56515,104570
2004-01-01,9589,4837,22116,10742,47284,36036,24864,60900,108184
2005-01-01,7059,5123,18589,8074,38845,27147,19561,46708,85553
2006-01-01,11832,4455,15790,8652,40729,20573,18713,39286,80015
2007-01-01,9302,2550,13628,10047,35527,17864,17427,35291,70818
2008-01-01,6585,2336,14509,8296,31726,21177,15695,36872,68598
2009-01-01,5962,2464,14604,7887,30917,25840,12224,38064,68981
2010-01-01,4943,2217,13277,10552,30989,20443,6948,27391,58380
2011-01-01,6173,2339,12358,14554,35424,17439,3918,21357,56781
2012-01-01,3649,2465,11093,6882,24089,5406,1050,6456,30545
2013-01-01,8082,2102,16920,8062,35166,28621,10607,39228,74394
2014-01-01,8037,2270,17505,7650,35462,31963,11488,43451,78913
2015-01-01,5738,2711,18351,7908,34708,30950,10206,41156,75864
2016-01-01,6382,2216,15158,6631,30387,27312,7399,34711,65098
2017-01-01,6830,2234,14862,5958,29884,26926,7103,34029,63913
2018-01-01,7882,8319,14243,5279,35723,34127,6297,40424,76147
2019-01-01,5735,15120,8882,6552,36289,41345,7434,48779,85068
2020-01-01,3973,11641,7835,4274,27723,30775,5105,35880,63603
2021-01-01,7480,15185,7849,6457,36971,44695,7393,52088,89059
2022-01-01,7480,15336,11747,6457,41020,42538,7393,49931,90951
2023-01-01,7480,15488,11818,6457,41243,42584,7393,49977,91220
2024-01-01,7480,15642,11890,6457,41469,42630,7393,50023,91492
2025-01-01,7480,15797,11962,6457,41696,42676,7393,50069,91765
2026-01-01,7480,15954,12034,6457,41925,42804,7393,50197,92122
2027-01-01,7480,16114,12107,6457,42158,42932,7393,50325,92483
2028-01-01,7480,16276,12180,6457,42393,43060,7393,50453,92846
2029-01-01,7480,16438,12254,6457,42629,43189,7393,50582,93211
2030-01-01,7480,16602,12328,6457,42867,43318,7393,50711,93578
2031-01-01,7480,16769,12403,6457,43109,43447,7393,50840,93949
2032-01-01,7480,16936,12478,6457,43351,43577,7393,50970,94321
2033-01-01,7480,17105,12554,6457,43596,43707,7393,51100,94696
2034-01-01,7480,17276,12630,6457,43843,43838,7393,51231,95074
2035-01-01,7480,17449,12706,6457,44092,43969,7393,51362,95454
2036-01-01,7480,17622,12783,6457,44342,44100,7393,51493,95835
2037-01-01,7480,17799,12860,6457,44596,44232,7393,51625,96221
2038-01-01,7480,17977,12938,6457,44852,44364,7393,51757,96609
2039-01-01,7480,18158,13016,6457,45111,44497,7393,51890,97001
2040-01-01,7480,18339,13095,6457,45371,44630,7393,52023,97394
2041-01-01,7480,18523,13175,6457,45635,44763,7393,52156,97791
2042-01-01,7480,18709,13254,6457,45900,44897,7393,52290,98190
2043-01-01,7480,18896,13334,6457,46167,45031,7393,52424,98591
2044-01-01,7480,19085,13415,6457,46437,45166,7393,52559,98996
2045-01-01,7480,19275,13496,6457,46708,45301,7393,52694,99402
