,itin_carrier,itin_taxi,itin_ga,itin_military,itin_total,lcl_civil,lcl_military,lcl_total,total
1990-01-01,2725,1070,51981,2659,58435,66765,1742,68507,126942
1991-01-01,3527,1430,64792,3615,73364,81204,2124,83328,156692
1992-01-01,3115,1485,74524,3893,83017,88510,2370,90880,173897
1993-01-01,2833,1375,83702,3389,91299,102691,1680,104371,195670
1994-01-01,2733,1421,86822,3373,94349,98647,2519,101166,195515
1995-01-01,3541,1557,72744,3201,81043,88009,2402,90411,171454
1996-01-01,3364,3276,67200,3144,76984,77720,1721,79441,156425
1997-01-01,3761,3037,76959,1034,84791,93846,710,94556,179347
1998-01-01,3653,3090,85593,974,93310,100391,750,101141,194451
1999-01-01,4090,4322,87399,1796,97607,102842,474,103316,200923
2000-01-01,3538,3863,102328,1249,110978,97403,1116,98519,209497
2001-01-01,3830,4663,102310,951,111754,100582,223,100805,212559
2002-01-01,3553,3565,91429,878,99425,98874,202,99076,198501
2003-01-01,3085,3559,89166,890,96700,84789,559,85348,182048
2004-01-01,1927,3183,65063,595,70768,59341,159,59500,130268
2005-01-01,2136,3720,72560,688,79104,73099,301,73400,152504
2006-01-01,2122,3274,68990,605,74991,66896,197,67093,142084
2007-01-01,2215,2825,61484,527,67051,64357,428,64785,131836
2008-01-01,2652,2732,65045,599,71028,70777,188,70965,141993
2009-01-01,2774,2605,55864,546,61789,52136,172,52308,114097
2010-01-01,3742,2217,53638,623,60220,51324,209,51533,111753
2011-01-01,4710,2345,51917,848,59820,50429,352,50781,110601
2012-01-01,4360,1613,50943,823,57739,54077,353,54430,112169
2013-01-01,3905,1480,48347,618,54350,50020,291,50311,104661
2014-01-01,4570,1412,48718,562,55262,58336,576,58912,114174
2015-01-01,4535,1298,52343,711,58887,57173,284,57457,116344
2016-01-01,3772,1439,50888,562,56661,49923,382,50305,106966
2017-01-01,3722,1158,46919,344,52143,50554,270,50824,102967
2018-01-01,3047,1137,53092,356,57632,57503,274,57777,115409
2019-01-01,10721,1239,56966,395,69321,59728,447,60175,129496
2020-01-01,9528,1589,49067,613,60797,58730,640,59370,120167
2021-01-01,5216,1553,56755,556,64080,78156,734,78890,142970
2022-01-01,9098,1534,61606,556,72794,78234,734,78968,151762
2023-01-01,16685,1554,61823,556,80618,78312,734,79046,159664
2024-01-01,26456,1574,62041,556,90627,78390,734,79124,169751
2025-01-01,31413,1591,62260,556,95820,78468,734,79202,175022
2026-01-01,31709,1607,62480,556,96352,78546,734,79280,175632
2027-01-01,32035,1623,62700,556,96914,78625,734,79359,176273
2028-01-01,32360,1640,62921,556,97477,78703,734,79437,176914
2029-01-01,32651,1656,63143,556,98006,78782,734,79516,177522
2030-01-01,32924,1673,63366,556,98519,78860,734,79594,178113
2031-01-01,33195,1689,63590,556,99030,78939,734,79673,178703
2032-01-01,33456,1706,63814,556,99532,79017,734,79751,179283
2033-01-01,33715,1723,64039,556,100033,79096,734,79830,179863
2034-01-01,33975,1741,64265,556,100537,79175,734,79909,180446
2035-01-01,34243,1758,64492,556,101049,79254,734,79988,181037
2036-01-01,34507,1776,64719,556,101558,79333,734,80067,181625
2037-01-01,34755,1794,64948,556,102053,79412,734,80146,182199
2038-01-01,34989,1812,65177,556,102534,79491,734,80225,182759
2039-01-01,35215,1830,65407,556,103008,79571,734,80305,183313
2040-01-01,35453,1848,65637,556,103494,79650,734,80384,183878
2041-01-01,35696,1867,65869,556,103988,79729,734,80463,184451
2042-01-01,35936,1885,66101,556,104478,79809,734,80543,185021
2043-01-01,36181,1904,66335,556,104976,79888,734,80622,185598
2044-01-01,36433,1923,66569,556,105481,79968,734,80702,186183
2045-01-01,36694,1943,66803,556,105996,80048,734,80782,186778
